fecha,hora,observacion,temperatura
20111229,8,15619,-5.687523
20111229,9,16247,-5.687523
20111229,10,16611,-4.620106
20111229,11,16753,-3.550916
20111229,12,16671,-2.439805
20111229,13,16475,-1.96303
20111229,14,16301,-0.851919
20111229,15,16078,-0.217583
20111229,16,16220,-0.217583
20111229,17,17518,-0.175661
20111229,18,18596,-1.243078
20111229,19,18441,-1.7531
20111229,20,17979,-1.705659
20111229,21,17330,-2.211795
20111229,22,16350,-2.160323
20111229,23,15061,-2.662281
20111229,24,13671,-2.606478
20111230,1,12710,-2.548391
20111230,2,12140,-2.487937
20111230,3,11857,-1.869474
20111230,4,11776,-1.735948
20111230,5,11955,-1.180392
20111230,6,12671,-1.109589
20111230,7,13891,-1.109589
20111230,8,14928,-1.591521
20111230,9,15643,-0.403866
20111230,10,16070,0.707245
20111230,11,16269,1.342366
20111230,12,16203,2.622098
20111230,13,15918,3.266929
20111230,14,15644,4.567094
20111230,15,15349,5.882069
20111230,16,15340,6.545425
20111230,17,16441,5.434314
20111230,18,17448,3.556001
20111230,19,17180,3.000446
20111230,20,16665,3.000446
20111230,21,16039,3.000446
20111230,22,15230,3.104291
20111230,23,14077,3.104291
20111230,24,12856,3.104291
20111231,1,11861,3.104291
20111231,2,11277,3.212092
20111231,3,10900,3.323982
20111231,4,10736,3.879537
20111231,5,10755,3.440095
20111231,6,11054,3.560574
20111231,7,11678,4.241117
20111231,8,12447,4.370762
20111231,9,13418,4.370762
20111231,10,14317,4.505216
20111231,11,14907,5.200192
20111231,12,15086,5.900295
20111231,13,15014,6.605691
20111231,14,14833,7.872104
20111231,15,14662,8.755355
20111231,16,14701,8.588599
20111231,17,15735,8.588599
20111231,18,16664,7.477488
20111231,19,16299,7.316549
20111231,20,15555,6.760993
20111231,21,14827,6.050135
20111231,22,14137,6.050135
20111231,23,13395,5.344739
20111231,24,12664,5.200192
